x,y,filename
0.1807221980198267,-0.008884796224150747,Create a programming language.md
0.19376726682428044,0.012076681514289327,Programming languages.md
0.15571623594132464,0.20061777853293183,Inspectional reading.md
0.09953341126628967,0.17753428635693513,Reading philosophy.md
0.1383086519165258,0.2086313667842004,Reading imaginary.md
0.17109416804614092,0.2512521933753735,Reading technics should differ depending on book type.md
0.15774566865520684,0.132392786679634,Elementary reading.md
0.18343912920162284,0.2121382158591395,Re-reading books.md
0.13711385290597375,0.2102053507741951,Evaluate a book.md
0.11864282236508322,0.15823905825501552,Syntopical reading.md
0.17651788021296658,0.25283833177320164,The four levels of reading.md
0.1422018737844496,0.1860207245916568,Reading science and mathematics.md
0.19539522114846972,0.1666598145387223,Speed reading.md
0.17009200541854255,0.18552709777970022,Selective reading.md
0.17041950190992325,0.1421701672519382,Reading history.md
0.12611581966285157,0.09469962194116732,Reading biographies.md
0.1439269137574281,0.211872328385942,Reading digests.md
0.1768263946906062,0.11309161491462819,Reading news.md
0.1470128869280618,0.24862594272376434,Analytical reading.md
0.16663081700926477,-0.0901016950726755,Augmented reality.md
0.18472117421113762,-0.10046936372316206,AR devices.md
0.1625406330560839,-0.08144334696190542,Mixed reality.md
0.17995188239486315,-0.09216337055072993,No-code tools for AR.md
0.2343771642866799,-0.025023264450831965,Video.md
0.21454041942854446,-0.0827398759806052,Premiere Pro.md
0.24476294437679952,-0.05027721873499968,Make great videos.md
0.14367414549348412,-0.11192309496601899,Hyperinflation.md
0.1754142063519322,-0.04050803225182325,Printing more money could create inflation.md
0.12553218762541662,0.0045021538198814545,Music theory.md
0.1793391756219065,-0.10001539982251428,One drop pattern.md
0.18962764184101663,-0.036126858485141716,Circle of fifth.md
0.15163029072147824,-0.07921919270256789,Harmonic Minor.md
0.14910752051683274,-0.07119864137298108,Contrapuntal music (in film).md
0.13391084431284256,-0.0713490107022235,Chords progressions.md
0.22210951189010997,-0.10775597034326101,Freemium.md
0.20755013643558723,-0.006581375398430657,Writing on Medium.md
0.16638102814946218,-0.07784697663408509,Newsletters.md
0.1588280753657327,-0.05252943867980239,Somatosensory.md
0.250687647157935,0.04288589011678505,Working memory.md
0.16325061296995538,-0.0825024688339665,Hardware.md
0.18340424145422662,-0.12170613950296036,DSP (Digital Signal Processor).md
0.1181209719018794,-0.09315661797301052,ALU (Arithmetic Logic Unit).md
0.16511385794753386,-0.13296945519950026,Raspberry Pi.md
0.1777209845176235,-0.14145321341797337,ARM (Advanced RISC Machines).md
0.20195340313640295,-0.054317449391082046,RAM (Random-Access Memory).md
0.07964899657612859,-0.1433118232507967,Places.md
0.0879175495530384,-0.05435462035015408,Third places.md
0.05699593694905636,-0.09669867039681912,State controlled saving plans.md
0.17324896725373723,-0.04025645990171904,Stock markets.md
0.1530555730329618,-0.04256738937943412,Real estate.md
0.03318311338915003,0.073199764770072,Old books.md
0.1678100858784926,-0.08040742168550997,Cryptocurrencies.md
0.14127942453065237,-0.10709342896162846,Exchange Traded Funds (ETF).md
0.22054373514108555,-0.02290501945312432,Saving habit.md
0.21712631220359596,-0.04978599202755303,Emergency fund.md
0.18851475140790308,-0.03860145964581244,My investment strategy.md
0.1927992328315926,-0.03176857011464212,Personal finances.md
0.10946717872195341,-0.10553922465146656,AudioSet dataset.md
0.17577925124645669,-0.09158498346289931,Sound classification.md
0.14218049913006436,-0.08323851217761678,Mel Spectogram.md
0.11882529465041988,-0.07326096547858744,Welcome in my mind 🧠.md
0.18965752888446008,-0.07615630684247013,Soundproofing.md
0.22553742346493366,0.11834794328055082,The zettelkasten method and how to take smart notes.md
0.22063921378135576,0.06734089292556303,Fleeting notes to capture thoughts.md
0.21385790152811557,0.0583964340999288,Zettelkasten for musicians.md
0.2038058287828558,0.02778481022219304,Open-closed principle makes Zettelkasten closer to its original design.md
0.1625505468487171,0.13361316068028156,Litterature note to quote and reference content.md
0.2542727150781491,0.18420576720835075,Writing is the only thing that count.md
0.20870553111816775,0.10477820187212006,Permanent notes to link and develop.md
0.13885897409786815,0.19200261397043042,202107062037 Critics need rhetoric.md
0.11882991597626429,0.2624301019290337,"202107071942 Books never solve practical problems, action does.md"
0.227253791376212,0.12939713356579846,202106122210 Expert can rely on their intuition.md
0.2609933714226863,0.10390989759221436,"202107032023 Don't be an expert, make unexpected connections instead.md"
0.2737929366660745,0.0882490820901673,202106201717 Avoid immobility by starting projects as drafts.md
0.12596207647658578,0.11945810863069212,202107062101 Don't read with a dictionnary.md
0.22922164514359772,0.13756667147489093,202106131144 Learning has multiple phases.md
0.1181602906056191,0.23165295190366786,202107061345 Interpretative reading.md
0.19782675651359968,0.08270737581049672,202106152233 Thinking about solutions to previous problem helps finding creative solutions.md
0.11676175505101213,0.24420452616269886,202107071935 The two types of practical books.md
0.10258737774048185,0.016735613404389678,202109222330 Is Thus Spake Zarathoustra has any historical fundements?.md
0.19600522576169127,0.14941382690831823,202106172137 Writing a lot trigger the large number theory on finding great topics.md
0.22300639942471956,0.16905943621182307,202106122212 Better taking note by hand.md
0.13171801585989046,0.25278706948090124,202107062109 Don't use extrinsic aid synchronously.md
0.09427027777068937,0.16281619239495237,202107062046 Book completeness as an indiscutable argument.md
0.15034904472043642,0.14508190237960888,202106270022 Teaching require empathy.md
0.15120444321454882,0.21307476379258614,202106290039 Don't stop on unknown references when reading.md
0.19759980874215763,-0.0035833068174593277,202106270039 Best collectors are artists.md
0.09938010194579791,0.19219793259998255,202107072126 Imaginary litterature is harder to read.md
0.2616461961963274,0.11012670895903724,202106122322 Remembering is bringing back memory to conscious mind.md
